2 2  0.0202211040595
2 4  0.00614107463194
2 8  0.00268689572553
2 16  0.00170733486974
2 32  0.000803401953959
2 64  7.43711426678e-05
2 128  0.000112500491161
3 2  0.0122054115245
3 4  0.00337540553215
3 8  0.00180030643039
3 16  0.00129148600933
3 32  0.000806103153114
3 64  7.62839390756e-05
3 128  0.000112996601343
4 2  0.00915268788202
4 4  0.00288642851493
4 8  0.00172748000297
4 16  0.0011630888604
4 32  0.000893515076188
4 64  7.64567321509e-05
4 128  0.000112409959235
8 2  0.00866253380614
8 4  0.00304740555124
8 8  0.00173034951248
8 16  0.00116109773842
8 32  0.000891612711176
8 64  7.63311739106e-05
8 128  0.0001119523828
32 2  0.00868650645077
32 4  0.00304686405433
32 8  0.00173125350389
32 16  0.00116158754505
32 32  0.000891199945001
32 64  7.63238881465e-05
