#h l2 max
4.0 0.000619229515487 0.00549102015793
2.0 0.000204409306956 0.00195727602113
1.0 3.03143561716e-05 0.000348469940946
0.5 7.28754167552e-06 8.47801566124e-05
0.25 1.77945947232e-06 2.10199505091e-05
0.125 4.24407432447e-07 5.10993413627e-06
0.0625 1.01834660782e-07 1.2400560081e-06
0.03125 2.8603700482e-08 3.10130417347e-07
0.015625 8.67686455342e-09 1.00582838058e-07
