#h l2 max nstep runtime[ms]
4.0 0.000463372240672 0.00318269990385 5 163.473
2.0 0.00013053126013 0.000827850075439 10 260.387
1.0 7.88780501834e-06 4.52026724815e-05 20 481.386
0.5 2.15440751401e-06 1.17011368275e-05 40 836.584
0.25 4.5222891032e-07 2.40281224251e-06 80 1668.45
0.125 7.7112183186e-08 4.02331352234e-07 160 3224.92
0.0625 1.54753164912e-08 1.00582838058e-07 320 6363.91
0.03125 7.24420703728e-09 1.00582838058e-07 640 12720.2
0.015625 1.28220936665e-10 1.04773789644e-09 1280 25466.7
