#h l2 max nstep runtime[ms]
4.0 0.00110945150152 0.00874200090766 5 118.868
2.0 0.000234370682964 0.00145120010711 10 202.709
1.0 7.43040549106e-05 0.000605050008744 20 283.445
0.5 1.3477011292e-05 9.59299504757e-05 40 551.985
0.25 2.27962832658e-06 1.48001126945e-05 80 1106.73
0.125 3.51335476945e-07 2.15996988118e-06 160 2177.78
0.0625 5.12628320208e-08 3.01748514175e-07 320 4299.74
0.03125 1.14952117148e-08 1.00582838058e-07 640 8546.86
0.015625 7.21355551538e-09 1.00582838058e-07 1280 16902.3
