#h l2 max nstep runtime[ms]
4.0 0.000655848072739 0.00352769903839 5 182.572
2.0 0.000252506204465 0.00152260065079 10 277.145
1.0 8.65045888118e-05 0.000488102436066 20 507.236
0.5 3.06723655863e-05 0.000166900455952 40 1016.1
0.25 9.50972215293e-06 5.12003898621e-05 80 2023.42
0.125 2.68300496482e-06 1.44019722939e-05 160 4112.86
0.0625 7.18795349041e-07 3.90037894249e-06 320 8122.41
0.03125 1.8634641439e-07 1.00210309029e-06 640 16398.5
0.015625 4.91543038809e-08 3.01748514175e-07 1280 32947.7
