#h l2 max nstep runtime[ms]
4.0 0.000700546285692 0.00401020050049 5 110.224
2.0 0.000271459524817 0.00168690085411 10 199.648
1.0 9.02240558725e-05 0.000538300722837 20 299.908
0.5 3.15533230394e-05 0.000179402530193 40 550.326
0.25 9.75975172081e-06 5.46015799046e-05 80 1132.53
0.125 2.75369841622e-06 1.52997672558e-05 160 2233.29
0.0625 7.36115409436e-07 4.10154461861e-06 320 4489.64
0.03125 1.91960475518e-07 1.10268592834e-06 640 8870.18
0.015625 5.0787695192e-08 3.01748514175e-07 1280 17692.4
