#h l2 max nstep runtime[ms]
4.0 0.000829729695255 0.00547274015844 5 86.7566
2.0 0.000329778425808 0.00269796653993 10 123.936
1.0 0.000105414044871 0.00071370229125 20 254.11
0.5 3.50171517051e-05 0.000224702060223 40 457.57
0.25 1.06656330819e-05 6.65001571178e-05 80 947.148
0.125 2.99045324237e-06 1.84029340744e-05 160 1833.49
0.0625 7.98030941748e-07 4.90248203278e-06 320 3688.2
0.03125 2.07740859994e-07 1.30012631416e-06 640 7374.8
0.015625 5.7642035044e-08 4.02331352234e-07 1280 14666.7
