#h l2 max nstep runtime[ms]
4.0 0.00273667251311 0.0694606136115 5 131.734
2.0 0.00074784882442 0.0170261327778 10 208.532
1.0 1.42464331511e-05 0.000285513447641 20 415.7
0.5 1.32298149687e-06 3.57423690043e-05 40 861.29
0.25 1.41239119707e-07 3.61678733972e-06 80 1792.29
0.125 0 0.0 160 3398.12
0.0625 0 0.0 320 6852.18
