#h l2 max nstep runtime[ms]
20.0 0.0372279510358 0.136900991201 1 66.4398
10.0 0.00627901544718 0.0247702629422 2 99.2273
4.0 0.00157160296756 0.00507370010018 5 239.829
2.0 0.000613148958154 0.0020791880097 10 451.598
1.0 0.000217676054522 0.000719460076652 20 785.858
0.5 6.95533762711e-05 0.000235100043938 40 1500.85
0.25 2.01786973939e-05 6.8960012868e-05 80 3002.09
0.125 5.47679021005e-06 1.88499689102e-05 160 5771.94
