#h l2 max nstep runtime[ms]
4.0 0.000443021882245 0.00295419991016 5 212.839
2.0 0.00012748423375 0.000812300480902 10 319.262
1.0 7.12993362823e-06 3.90000641346e-05 20 584.128
0.5 2.09880650259e-06 1.10007822514e-05 40 1165.46
0.25 4.41754886257e-07 2.30222940445e-06 80 2357.6
0.125 7.55062593874e-08 4.02331352234e-07 160 4733.33
0.0625 1.35737189583e-08 1.00582838058e-07 320 9456.71
0.03125 7.24306825034e-09 1.00582838058e-07 640 18791.1
0.015625 1.2808857155e-10 1.04773789644e-09 1280 37609.6
