#h l2 max nstep runtime[ms]
4.0 0.00081889124615 0.00517620146275 5 160.754
2.0 0.00022971482753 0.00165736000054 10 247.022
1.0 7.18803425786e-05 0.000571370124817 20 411.388
0.5 1.30395650799e-05 8.98099970073e-05 40 804.016
0.25 2.20860215263e-06 1.38401519507e-05 80 1566.11
0.125 3.37259667775e-07 2.02003866434e-06 160 3173.03
0.0625 4.99360200299e-08 3.01748514175e-07 320 6345.34
0.03125 1.14476463315e-08 1.00582838058e-07 640 12636.4
0.015625 7.21350154966e-09 1.00582838058e-07 1280 25211.8
