#h l2 max nstep runtime[ms]
4.0 0.000857172540058 0.00566809996963 5 109.001
2.0 0.000237961337406 0.00153816002421 10 145.815
1.0 7.55113762775e-05 0.000620660139248 20 284.345
0.5 1.36881234826e-05 9.86300874501e-05 40 526.798
0.25 2.30998084281e-06 1.52201391757e-05 80 1052.66
0.125 3.54651697845e-07 2.22004018724e-06 160 2104.53
0.0625 5.18590578191e-08 3.10130417347e-07 320 4281.92
0.03125 1.14850898988e-08 1.00582838058e-07 640 8653.34
0.015625 7.21355600208e-09 1.00582838058e-07 1280 16948.7
