#h l2 max nstep runtime[ms]
20.0 0.0315160895117 0.149668700993 1 142.302
10.0 0.0144085423234 0.11951809749 2 226.418
4.0 0.00504651205643 0.0520080029964 5 487.052
2.0 0.00243325856898 0.027429997921 10 1114.29
1.0 0.000782447483865 0.00826399028301 20 1951.79
0.5 0.000156878818034 0.00144559890032 40 3841.63
0.25 2.51382259105e-05 0.000224001705647 80 7625.11
0.125 3.24431083384e-06 2.89976596832e-05 160 15364.6
