#h l2 max nstep runtime[ms]
20.0 2678.36922627 5521.65262707 1 41.6638
10.0 0.360139552362 0.806847913191 2 64.1474
4.0 0.00568085256909 0.0364240109921 5 129.371
2.0 0.00155743614653 0.0127960992977 10 245.692
1.0 0.000512990018395 0.00508309900761 20 409.643
0.5 7.34446075827e-05 0.000708999112248 40 830.377
0.25 9.69580759212e-06 9.27988439798e-05 80 1750.05
0.125 1.24738095505e-06 1.17998570204e-05 160 3331.3
