#h l2 max
4.0 0.000473000701962 0.00550275016576
2.0 0.000133034501067 0.00144219002686
1.0 2.39741881173e-05 0.000303930137306
0.5 5.97444603866e-06 7.59300310165e-05
0.25 1.49846723312e-06 1.90299469978e-05
0.125 3.7770633141e-07 4.75998967886e-06
0.0625 9.7455633082e-08 1.18999741971e-06
0.03125 2.79723928568e-08 3.0011869967e-07
0.015625 8.66087844506e-09 1.00582838058e-07
