[0.00047803988869972187, 0.005495599936693907] - -
[0.00013420363919129926, 0.0014485600404441357] [1.8327072113405356, 1.9236575008797034] -
[2.3944085733394545e-05, 0.00030389009043574333] [2.4866825387992524, 2.2529979473581974] [1.8253890774076527, 1.8219353945402306]
[5.97315653577834e-06, 7.596006616950035e-05] [2.00310391418765, 2.0002365633809767] [2.635591895275347, 2.3282687944128715]
[1.4942404671839975e-06, 1.9009923562407494e-05] [1.9990811915017643, 1.998488431211854] [2.004439808034684, 2.0008196176298836]
[3.7355573671411723e-07, 4.739966243505478e-06] [2.0000169160442263, 2.0038040411518523] [1.9984238244228305, 1.9967184347919193]
[9.317523949269812e-08, 1.1699739843606949e-06] [2.003304990366304, 2.0184003344784798] [1.9928528335357174, 1.9989881685958992]
[2.4316009935860416e-08, 2.8009526431560516e-07] [1.9380401087831691, 2.0624869537775767] [1.9563208932964398, 2.004240313743909]
[3.8585871983465685e-09, 6.007030606269836e-08] [2.6557618994078758, 2.2211936717528227] [1.7290411427681804, 2.0159415438690216]
