#h l2 max nstep runtime[ms]
20.0 0.0424970200754 0.239507004619 1 25.6838
10.0 0.0176209064986 0.0927169919014 2 51.5562
4.0 0.00249392305855 0.0171409994364 5 130.63
2.0 0.000655240820223 0.0042105987668 10 259.16
1.0 1.01641921737e-05 6.65988773108e-05 20 518.847
0.5 2.91968111509e-07 1.99861824512e-06 40 1036.22
0.25 1.03523373136e-07 1.01327896118e-06 80 2082.37
0.125 1.0703915248e-08 1.04308128357e-07 160 4170.16
