#h l2 max nstep runtime[ms]
4.0 0.000437284105874 0.00281739979982 5 212.509
2.0 0.000122063657831 0.000777500681579 10 294.008
1.0 6.93788546197e-06 3.69995832443e-05 20 583.134
0.5 2.08238652447e-06 1.07996165752e-05 40 1212.25
0.25 4.38136466215e-07 2.30222940445e-06 80 2365.8
0.125 7.50852476159e-08 4.02331352234e-07 160 4682.83
0.0625 1.35389565513e-08 1.00582838058e-07 320 9503.79
0.03125 7.24301345006e-09 1.00582838058e-07 640 18907.1
0.015625 1.28088569785e-10 1.04773789644e-09 1280 37870.7
