#h l2 max nstep runtime[ms]
4.0 0.000754478169133 0.00630578957498 5 41.5786
2.0 0.000131383977006 0.00143315002788 10 82.9514
1.0 4.46274648087e-05 0.000422579934821 20 165.276
0.5 1.38901952904e-05 0.000113870017231 40 349.838
0.25 4.19141118471e-06 3.26000154018e-05 80 662.127
0.125 1.1732510996e-06 8.99005681276e-06 160 1325.61
0.0625 3.14763702403e-07 2.37999483943e-06 320 2649.62
0.03125 8.32791960393e-08 6.2002800405e-07 640 5313.23
0.015625 2.36299468212e-08 1.5995465219e-07 1280 10655.5
